exchange,contract,first_observation,last_trade
CZCE,MA606,2025-06-17,2026-06-11
CZCE,MA607,2016-01-18,2016-06-29
CZCE,MA608,2016-01-05,2016-07-19
CZCE,MA609,2016-01-04,2016-09-13
CZCE,MA610,2016-01-21,2016-09-26
CZCE,MA611,2016-01-04,2016-10-28
CZCE,MA612,2016-02-02,2016-11-25
CZCE,MA701,2016-01-18,2017-01-16
CZCE,MA702,2016-03-03,2017-01-26
CZCE,MA703,2016-03-28,2017-03-01
CZCE,MA704,2016-05-19,2017-03-30
CZCE,MA705,2016-05-17,2017-05-15
CZCE,MA706,2016-07-04,2017-05-31
CZCE,MA707,2016-07-19,2017-06-23
CZCE,MA708,2016-10-26,2017-07-28
CZCE,MA709,2016-09-19,2017-09-13
CZCE,MA710,2016-10-31,2017-09-29
CZCE,MA711,2017-01-12,2017-10-31
CZCE,MA712,2016-12-22,2017-11-28
CZCE,MA801,2017-01-17,2018-01-12
CZCE,MA802,2017-02-17,2018-02-08
CZCE,MA803,2017-03-17,2018-03-07
CZCE,MA804,2017-04-19,2018-04-10
CZCE,MA805,2017-05-16,2018-05-15
CZCE,MA806,2017-07-26,2018-05-07
CZCE,MA807,2017-07-26,2018-07-03
CZCE,MA808,2017-08-18,2018-08-02
CZCE,MA809,2017-09-15,2018-09-13
CZCE,MA810,2017-10-23,2018-10-08
CZCE,MA811,2017-11-27,2018-10-31
CZCE,MA812,2017-12-18,2018-11-20
CZCE,MA901,2018-01-16,2019-01-15
CZCE,MA902,2018-02-23,2019-02-15
CZCE,MA903,2018-03-23,2019-03-04
CZCE,MA904,2018-05-02,2019-03-29
CZCE,MA905,2018-05-16,2019-05-17
CZCE,MA906,2018-07-11,2019-05-31
CZCE,MA907,2018-08-03,2019-06-26
CZCE,MA908,2018-08-27,2019-07-31
CZCE,MA909,2018-09-17,2019-09-16
CZCE,MA910,2018-10-30,2019-10-16
CZCE,MA911,2018-11-28,2019-11-14
CZCE,MA912,2018-12-21,2019-11-29
CZCE,OI001,2019-01-16,2020-01-10
CZCE,OI003,2019-03-20,2020-03-04
CZCE,OI005,2019-05-20,2020-05-19
CZCE,OI007,2019-08-14,2020-07-13
CZCE,OI009,2019-09-17,2020-09-14
CZCE,OI011,2019-11-26,2020-11-13
CZCE,OI101,2020-01-16,2021-01-15
CZCE,OI103,2020-03-20,2021-03-10
CZCE,OI105,2020-05-20,2021-05-19
CZCE,OI107,2020-07-17,2021-07-12
CZCE,OI109,2020-09-15,2021-09-13
CZCE,OI111,2020-11-17,2021-11-12
CZCE,OI201,2021-01-18,2022-01-14
CZCE,OI203,2021-03-16,2022-03-14
CZCE,OI205,2021-05-20,2022-05-17
CZCE,OI207,2021-07-21,2022-07-13
CZCE,OI209,2021-09-15,2022-09-15
CZCE,OI211,2021-11-15,2022-11-14
CZCE,OI301,2022-01-18,2023-01-16
CZCE,OI303,2022-03-16,2023-03-14
CZCE,OI305,2022-05-19,2023-05-17
CZCE,OI307,2022-07-18,2023-07-14
CZCE,OI309,2022-09-16,2023-09-11
CZCE,OI311,2022-11-15,2023-11-14
CZCE,OI401,2023-01-17,2024-01-15
CZCE,OI403,2023-03-15,2024-03-14
CZCE,OI405,2023-05-18,2024-05-17
